courseName,courseLink,courseIntro,courseSchool,courseBook,courseAgenda,coursePreKnowledge
救命与救伤,https://www.icourse163.org/course/SCU-1002844009,本课程旨在通过讲授、视频观看、现场演示、情景模拟、案例分享等教学手段向非医学专业学生和社会公众传授挽救生命、减轻伤痛以及危险情况下自救互救的基本急救知识。本课程在理论上以国际先进的指南为基础，在构思上力争贴近日常生活，在选题上注重实用价值，强调公众关注的急救焦点问题，在内容上重视可现场操作性，力图将专业的、国际前沿的急救知识以浅显易懂、生动形象的方式传达给非医学专业学生和社会公众。本课程有助于学生在意外情况发生时沉着应对，并在第一时间展开现场自救和互救，为医务人员达到后开展专业救护赢得宝贵的时间，减少伤痛、残疾，甚至死亡的发生。本课程以大学生为主要授课对象，有助于发挥大学生在社会中的涟漪效应，拓宽急救知识在公众中的影响范围，提高公众的急救知识普及率。本课程已被评为大学素质教育精品通选课和国家级精品视频公开课。,四川大学,,"第一讲 成人紧急救命术
1.1 概论及心脏骤停的识别与呼救
1.2 心肺复苏术
1.3 电击除颤
第一讲 单元测试
第一讲 单元作业
第二讲 气道异物梗阻的急救
2.1 气道异物梗阻的识别与急救原则
2.2 气道异物梗阻的解除手法
第二讲 单元测试
第二讲 单元作业
第三讲 危险现场求生
3.1 求救信号
3.2 寻找水源与收集水
第三讲 单元测试
第三讲 单元作业
第四讲 危险现场逃生
4.1 地震逃生
4.2 火场逃生
第四讲 单元测试
第四讲 单元作业
第五讲 创伤急救处理——止血
5.1 常用止血技术（1）
5.2 常用止血技术（2）
第五讲 单元测试
第五讲 单元作业
第六讲 创伤急救处理——包扎固定与搬运
6.1 常用包扎技术
6.2 常用固定技术
6.3 创伤病员的搬运技术
第六讲 单元测试
第六讲 单元作业
第七讲 日常急救知识（一）
7.1 酒精中毒的急救
7.2 电击伤的急救
第七讲 单元测试
第七讲 单元作业
第八讲 日常急救知识（二）
8.1中暑的急救
8.2溺水的急救
第八讲 单元测试
第八讲 单元作业",
病理生理学,https://www.icourse163.org/course/WHU-1001672005,病理生理学课程的主要任务是研究疾病发生、发展的规律和机制，为疾病的防治提供理论依据和实验基础。在医学专业教育体系中，承接前期的生理学，并为过渡到后期的诊断学、内科学、外科学等课程打基础，从而发挥连接基础医学和临床医学课程的重要桥梁作用，是卫生部公布的17门医学主干学科之一。,武汉大学,,"病理生理学（上）
绪论 疾病概论 （1课时）
缺氧（1课时）
水、电解质平衡紊乱（2课时）
酸碱平衡紊乱（1课时）
缺血再灌注损伤（2课时）
休克（1课时）
凝血与抗凝血平衡紊乱（1课时）
发热（1课时）",
植物营养学,https://www.icourse163.org/course/HZAU-1003256004,"植物营养学是研究植物营养与施肥的科学，它在保障国家粮食安全、促进农民增产增收、生产优质农产品、美化生活环境、促进畜牧业发展、保护生态环境、协助营养高效育种、促进肥料产业健康发展等方面发挥着重要的作用。
《植物营养学》课程共有十七讲，56个学时，通过线上学习、线下讨论、案例分析、项目研究，了解植物营养学在农业生产中的地位及其与农业生态环境的关系，掌握土壤养分生物有效性及植物对营养元素的吸收和转运机制，掌握各种营养元素的生理功能及营养失调症，了解土壤中营养元素的转运规律，掌握各种肥料的特点及施用方法，学会植物营养学中分析问题和解决问题的基本方法，具有一定的创新意识和国际化视野。
 ",华中农业大学,,"第一讲 植物营养学基本知识
第一节 植物营养学与农业生产
第二节 植物营养学的发展概况
第三节 植物营养学的研究领域及主要研究方法
第四节 植物的营养成分
第二讲 土壤养分生物有效性
第一节 土壤养分的化学有效性
第二节 土壤养分的空间有效性
第三节 植物根系的生长与养分有效性
第四节 植物根际养分有效性
第三讲 植物对养分的吸收
第一节 根细胞吸收养分的机理
第二节 影响根系养分吸收的因素
第三节 植物气生部分对养分的吸收
第四节 植物的营养特性与施肥方法
第四讲 养分的运输与分配
第一节 养分的短距离运输
第二节 养分的长距离运输
第三节 植物体内养分的循环
第四节 养分的再利用
第五讲 植物的氮素营养与氮肥
第一节 植物的氮素营养
第二节 土壤中的氮素及其转化
第三节 氮肥的种类、性质和施用
第四节 氮肥的合理分配和施用
第六讲 植物的磷素营养与磷肥
第一节 植物的磷素营养
第二节 土壤中的磷素及其转化
第三节 磷肥的种类、性质和施用
第四节 磷肥的合理分配和施用
第七讲 植物的钾素营养与钾肥
第一节 植物的钾素营养
第二节 钾肥的种类、性质和施用
第三节 钾肥在土壤中的转化
第四节 钾肥的合理施用
第八讲 钙素营养与钙肥
第一节 植物的钙素营养
第二节 石灰肥料及其施用
第九讲 镁素营养与镁肥
第一节 植物的镁素营养
第二节 含镁肥料及其施用
第十讲  硫素营养与硫肥
第一节 植物的硫素营养
第二节 含硫肥料及其施用
第十一讲 微量元素营养与微肥施用
第一节 铁素营养与铁肥
第二节 锌素营养与锌肥
第三节 钼素营养与钼肥
第四节 硼素营养与硼肥
第五节 锰素营养与锰肥
第六节 铜素营养与铜肥
第七节 植物镍素营养
第八节 氯素营养与含氯肥料
第九节 含中微量元素的水溶性肥料标准
第十二讲 有益元素
第一节 硅的营养与含硅肥料
第二节 硒营养与含硒肥料
第十三讲 复混肥料
第一节 复混肥料及其发展
第二节 复混肥料的品种和性质
第三节 混合肥料类型、特点及其配制
第四节 复混肥料的肥效及施用
第十四讲 有机肥料
第一节 传统有机肥料
第二节 工厂化有机肥料
第三节 绿肥
第十五讲 植物对逆境土壤的适应性
第一节 酸性土壤、石灰性土壤、盐土中的毒害因子和植物的适应机理
第二节 淹水植物的营养特性及其适应机理
第三节 重金属污染土壤植物适应机理及其修复措施
第十六讲 植物营养遗传学
第十七讲 作物养分缺乏症状","土壤学、生物化学、植物生理学
 "
饲料毒物学,https://www.icourse163.org/course/HZAU-1002741007,"    饲料在生长、生产、加工、储存、运输等过程中可能产生或被污染某些有毒有害物质。这些物质不仅降低了饲料的利用率，还会降动物生产性能、损害动物健康，还可能在动物性食品中残留。畜牧业的快速发展，常规饲料资源短缺的问题越来越突出，而某些有潜力的非常规饲料资源，由于其中含有抗营养因子限制了其利用。因此掌握饲料中的毒物或抗营养因子的种类、含量、性质及其有害作用和消除危害的措施是开展安全、高效畜牧养殖的基础。
    饲料毒物学是研究饲料中出现的有毒有害的物质及其对动物机体的作用机理与预防措施的一门科学，其任务是阐明饲料中有毒有害物质的种类、性质、水平，及消除其危害的具体措施和方法，以保证资源的合理利用，保证畜禽身体健康和生产性能稳定，为人类提供营养丰富、实用安全的优质畜产品。",华中农业大学,"[1]《动物中毒病学》.刘宗平主编.中国农业出版社.2006年第1版.
[2]《中国饲料学》.张子仪主编.中国农业出版社.2000年第1版.
[4]《畜禽饲料与饲养学》.Richard O.Kellems, D.C.Church, 译者:姜成钢 张辉. 中国农业出版社.2006年第1版.
[5]《饲料安全及其检测技术》.蔡益辉主编.化学工业出版社.2005年第1版.
[6] https://www.chinafeed.org.cn/cms/_code/business
[7] https://www.mafic.ac.cn
[8] https://jn.nutrition.org
[9] https://www.fao.org/livestock
[10] https://www.feedtrade.com.cn","第二章 青绿饲料中的有害物质
第二章 单元检测
2.5 苜蓿中的有毒成分
2.3 光敏物质和草酸盐
2.1 硝酸盐和亚硝酸盐
2.4 草木樨中的有毒成分
2.2 生氰糖苷
第一章 饲料毒物学基础
第一章 单元检测
1.1 有关毒物毒性的基本概念
1.2 毒物在动物体内的生物转运和转化
第三章 豆类、谷实类饲料中共同存在的有害物质
第三章 单元测试
3.1 蛋白酶抑制剂
3.2 非淀粉多糖
3.5 胃肠胀气因子
3.3 植酸与植酸盐
3.4 植物性红细胞凝集素
3.6 抗维生素
第四章 能量饲料中存在的有害物质
第四章 单元测试
4.5 常见块根块茎中的有毒成分
4.4 油脂的酸败
4.3 糠麸中的抗营养因子
4.1 高粱中的抗营养因子
4.2 小麦中的抗营养因子
第六章矿物质饲料、动物性饲料和饲料添加剂毒性问题
第六章 单元测试
6.7 血粉的卫生学问题
6.4 动物性饲料共同存在的有害物质
6.3 骨粉的卫生学问题
6.6 蚕蛹的卫生学问题
6.1 食盐的卫生学问题
6.5 鱼粉的卫生学问题
6.2 矿物质碳酸钙、磷酸盐的卫生学问题
第七章 霉菌毒素对饲料动物污染
第七章 单元测试
7.2 霉菌繁殖与产毒以及饲料的防霉
7.5 杂色曲霉毒素
7.8 T-2毒素
7.3 饲料的脱霉及去毒
7.12 伏马菌素
7.13 青霉菌属毒素类
7.6 赭曲霉毒素
7.9 玉米赤霉烯酮
7.14 甘薯黑斑病毒素
7.4 黄曲霉毒素
7.15 麦角生物碱
7.1 霉菌及霉菌毒素的基本概念
7.7 脱氧雪腐镰刀菌烯醇
7.10 丁烯酸内酯
7.11 串珠镰刀菌素
第十章  饲料安全卫生质量的监督管理
10.3 我国现行饲料监管的法律法规体系
10.2 饲料卫生标准
10.1 饲料安全
第十章 单元测试
第五章 蛋白质饲料中存在的有害物质
第五章 单元测试
5.5 DDGS及酒糟中的有害物质
5.1 大豆饼粕中有害物质
5.2 菜籽饼粕中的有害物质
5.4 亚麻籽饼粕、花生饼粕及其它饼粕中的有害物质
5.3 棉籽饼粕中的有害物质
第八章 有毒金属元素对饲料毒物污染
8.6 硒
8.2 砷
8.3 镉
8.4 汞
8.1 铅
8.5 铬
第八章 单元测验
第十一章 饲料安全性毒理学评价
第十一章 单元测试
11.1 饲料安全性毒理学评价
11.3 亚慢性毒性实验
11.4 慢性毒性实验
11.2 急性毒性实验
第九章 其他化学物质对饲料的污染
第九章 单元测试
9.1 氟化物
9.2 N-亚硝基化合物
9.3 持久性环境污染",《动物生物化学》、《动物生理学》、《动物营养学》、《饲料学》
植物生理学,https://www.icourse163.org/course/scnu-1003197008,"本课程在原国家级精品课程、国家级精品资源共享课《植物生理学》课程的基础上转型升级，是一门理论联系实际、特色鲜明的MOOC。课程共分为四篇，分别是植物的水分和矿质营养、植物的物质代谢和能量转换、植物的信号转导、植物的生长与发育。本课程既涵盖了植物生理学领域的基本原理与主要方法，也体现了学科的发展趋势。通过本课程的学习, 可认识植物生命活动中的生理过程和本质，了解如何使植物合理利用光、气、水及土地资源服务人类的基本原理。",华南师范大学,"王小菁主编，《植物生理学》（第八版）高等教育出版社，2018
潘瑞炽主编，《植物生理学》（第七版）高等教育出版社，2012","第一篇 植物的水分和矿质营养
 第一章 植物的水分生理
一、植物的水分交换
二、根系的水分吸收和远距离运输
三、蒸腾作用
四、合理灌溉的生理基础
第二章  植物的矿质营养
一、 植物必需的矿质元素
二、植物体对矿质元素的吸收
三、矿质元素的运输和利用
四、植物对氮、硫、磷的同化
五、合理施肥的生理基础
 第二篇 物质代谢和能量转换
 第三章 植物的光合作用
一、 叶绿体及其色素
三、光合作用过程
四、 C3、C4与CAM植物的光合特性
五、光呼吸
六、影响光合作用的因素
七、植物对光能的利用
第四章 植物的呼吸作用
一、呼吸代谢途径
二、电子传递与氧化磷酸化
三、呼吸过程中能量的贮存和利用
四、呼吸作用的调控
五、呼吸作用与农业生产
第五章  植物同化物的运输
一、 同化物运输的途径、方向
二、韧皮部装载
三、韧皮部卸出
四、韧皮部运输的机理
五、同化物的分布
第六章 植物的次生代谢产物
一、初级代谢物和次级代谢物
二、萜类化合物
三、酚类化合物
四、次生含氮化合物
五、次生代谢产物的开发利用技术
 第三篇 植物的信号转导
 第七章 细胞信号转导
一、信号与受体结合
二、跨膜信号转换
三、细胞内信号转导形成网络
第八章 植物生长物质
一、生长素类
二、赤霉素类
三、细胞分裂素类
四、乙烯
五、脱落酸
六、油菜素甾醇类
七、其它天然的植物生长物质
第九章 植物的光形态建成
一、光受体
二、光形态建成反应
三、光形态建成的反应机理
 第四篇  植物的生长与发育
 第十章  植物的生长生理
一、细胞生长生理
二、种子萌发
三、植物营养器官生长
四、植物生长的相关性
五、植物的运动
第十一章植物的生殖生理
一、幼年期
二、成花诱导
三、花原基和花器官原基的形成
四、受精生理
第十二章 植物的成熟和衰老生理
一、种子成熟生理
二、果实成熟生理
三、植物休眠的生理
四、植物衰老的生理
五、植物器官的脱落
第十三章 植物对胁迫的应答与适应
一、植物对逆境的适应生理
二、植物对温度胁迫的应答与适应
三、植物对水分胁迫的应答与适应
四、植物对盐胁迫的响应
五、植物的抗病性",课程对学员没有特别的能力要求。该课程面向学习型社会中的每一个公民，而不限定于特定年龄或层次。
医学伦理学,https://www.icourse163.org/course/SCU-46009,"课程基本内容包括：
一、分析和讨论当代医学丰富的层面和不可或缺的伦理学内涵
二、了解和掌握医学伦理思想在人类文明史中的历史演进
三、了解生命伦理学的产生、发展和概况，同时讨论科学技术发展与人类福祉之间的关系，涉及人的生物医学研究应遵循的伦理原则，环境伦理等
四、掌握医学伦理学的基本观点和理论，如有关生命的各种观点，医学美德论，道义论、后果论和公正论等
五、掌握医学伦理学的基本原则，如尊重原则、有利原则、不伤害原则和公正原则
六、讨论和理解临床实践中遇到的基本问题，如知情同意、保密、医生和患者的道德权利问题。
七、讨论当前热点的医学伦理学问题并建立自己的观点与看法，如安乐死问题、器官移植问题、人类胚胎干细胞研究问题、人工辅助生殖问题、临终关怀问题、医学专业精神问题、医学道德修养与评价问题。
   ",四川大学,,"第一周  绪论
第一周  单元测验
1.1  什么是医学？
1.2  伦理学与医学伦理学
第二周   医学伦理学的发展（一）
第二周  单元测验
2.1  中国医学伦理学的发展
2.2   国外的医学伦理学
2.3   近代医学伦理学的思想基础
第三周    医学伦理学的发展（二）
第三周  单元测验
2.4  生命伦理学
第四周  医学伦理学的观点和理论
3.1  医学伦理学的观点和理论
第五周   医学伦理学的基本理论及道义论
第五周   单元测验
3.2&3.3 医学伦理学的基本理论及道义论
第六周  美德伦理学、公益论和公正论
第六周  单元测验
3.4  美德伦理学
3.5  公益论和公正论
第七周   当代医学伦理学的基本原则
第七周  单元测验
4.1  当代医学伦理学的基本原则
4.2 知情同意
4.3 保密原则
第八周  不伤害、有利和公正原则
4.4  不伤害和有利原则
4.5  公正原则","有对医学的大致了解
有对人类生命现象的大致了解和个人看法"
吃货的营养学修养,https://www.icourse163.org/course/SCU-1003253003,"本课程旨在为同学们提供系统的，靠谱又实用的健康知识，主要介绍营养学的基本概念，营养与健康的关系以及人体的基本生理知识。本课程主要内容包括我国居民的膳食结构及存在的问题，中国居民膳食指南的实际应用，膳食宝塔的介绍，含糖饮料，科学减重，生酮饮食、减肥药、代餐粉、减重手术的介绍，皮肤管理与饮食，饮食禁忌辟谣，食源性疾病的预防，腹泻、便秘的处理，肠道菌群对人体的影响，零食的科学选择，正确地看待垃圾食品，特医食品、膳食补充剂、保健食品、防癌食物的介绍，如何健康地吃素食，地中海饮食，DASH饮食，糖尿病饮食，血脂异常饮食，高血压饮食等常见的营养学热点问题和同学们目前最关心的饮食话题。
  希望通过对这门课程的学习，可以帮助选修本课程的同学建立良好的健康饮食习惯，走出饮食误区，并且带动周围的亲朋好友了解膳食与健康的关系，做到均衡营养，平衡膳食。 ",四川大学,,"第一讲 火锅的正确打开方式
第二讲 来自饮料的暴击
第三讲 科学减重，了解一下
第四讲 痘痘肌该怎么吃？
第五讲 食物相克？不存在的
第六讲 食品安全，懂得越多越安全
第七讲 便便的故事
第八讲 朋克养生和健康零食
第九讲 特医食品知多少？
第十讲 膳食补充剂的防剁手指南
第十一讲 神奇食物在哪里？
第十二讲 防癌饮食攻略
第十三讲 吃草还是吃肉？这是个问题
第十四讲 糖友营养管理指南
第十五讲 高血脂高血压吃啥哟？
第十六讲 吃啥可以变聪明？",
食品毒理学,https://www.icourse163.org/course/BJFU-1003382005,"食品毒理学是现代毒理学的一门分支学科，是毒理学和食品卫生学的一个组成部分，也是食品安全风险评估的关键技术手段。食品毒理学主要从毒理学角度研究食品中各种外源化学物的来源、性质、毒性作用及其作用机制，并确定这些物质的安全限量，评价食品的安全性，从而确保人类的健康。
食品毒理学的研究对象既包括了食品中的化学类和生物类外源污染物，如农业生产中的农药兽药等化学污染物、重金属等工业污染物、细菌毒素、霉菌毒素和疯牛病病毒等，又包括了食品中本身含有的有毒物质、食品加工过程中产生的有毒物质以及食品添加剂等，如苦杏仁和木薯中含有的生氰糖苷、油炸淀粉类食品中可能产生的丙烯酰胺、烤肉中可能产生的多环芳烃和杂环胺等致癌物和致突变物等。
食品毒理学关于食品中外源物质的毒性作用评价方法既包括了急性毒性、蓄积毒性、亚慢性毒性和慢性毒性等一般毒性作用试验方法，又包括了致突变作用、致癌作用、致畸作用和免疫毒性等试验方法。通过分阶段开展以上动物试验，并结合对人的观察（流行病学调查等），最终阐明某一食品或食品中某一外源物质的毒性及其潜在危害，以便为人类使用这些外源物质的安全性做出评价，为制定预防措施特别是卫生标准制定理论依据。
本课程共分为13章，包括了33个知识点，系统介绍了食品毒理学的发展简史、基本概念、基本理论、研究内容和研究方法。内容包括了外源化学物质的来源、生物转运与生物转化过程、毒性作用及作用机制、食品毒物的一般毒性、生殖毒性、致突变、致癌、致畸和免疫毒性等。课程还介绍了我国食品安全性毒理学的评价程序和方法以及对转基因食品的安全性评价方法。
该课程主要由三位教师主讲，其中马超副教授讲解第1-11章节内容，赵宏飞博士讲解食品安全性毒理学评价程序和方法，甘芝霖博士讲解转基因食品的安全性评价。",北京林业大学,"李宁、马良，主编. 食品毒理学，中国农业大学出版社，2016年第2版；
沈明浩，宫志勇，王雅玲，主编. 郑州大学出版社，2017年第2版","第一章  绪论
1. 绪论导学
2. 食品毒理学发展简史
3. 食品毒理学的研究对象
4. 食品毒理学的研究方法
第二章  食品毒理学基础
1. 毒物、毒性和毒作用
2. 剂量-反应（效应）关系
3. 毒性参数与安全限量
第三章  生物转运
1. 外源物质的跨膜转运方式
2. 毒物动力学
3. 外源物质的吸收
4. 外源物质的分布
5. 外源物质的排泄
第四章  生物转化
外源物质的生物转化
第五章 毒性作用机制
外源物质的毒性作用机制
第六章  食品毒理学试验基础
食品毒理学实验基础
第七章  一般毒性作用
1. 外源物质的急性毒性作用
2. 外源物质的蓄积毒性作用
3. 外源物质的亚慢性和慢性毒性作用
第八章 致突变作用
1. 外源化学物的致突变类型
2. 外源化学物致基因突变作用的研究方法
3. 外源化学物致染色体突变的研究方法
第九章 生殖毒性
1. 外源化学物的雄性生殖毒性
2. 外源化学物的雌性生殖毒性
3. 外源化学物的致畸作用
第十章 致癌作用
1. 化学致癌物质
2. 外源化学物的致癌性判别
第十一章  免疫毒性 
1. 食物过敏反应
2. 食物中过敏原致敏性评价方法
第十二章 食品安全性毒理学评价
1.  食品安全性毒理学评价的四个阶段和内容
2. 不同受试物选择毒性试验的原则
3. 食品安全性毒理学试验的目的和结果判定
第十三章  转基因食品的安全性评价
1. 转基因食品安全性评价目的与原则
2. 转基因食品安全性评价内容与方法  ",
国际名酒知识与品鉴,https://www.icourse163.org/course/JNU-1002531023,本课程对八种国外知名的蒸馏酒、酿造酒、勾兑酒（威士忌、伏特加、白兰地、朗姆酒、金酒、龙舌兰酒、日本清酒、韩国烧酒）进行了详细介绍，从地域起源及饮用风俗谈起，延伸到传统和现代酿制工艺，生产流程，加工所需特色要求，最后从感官评价的角度介绍酒品的品鉴方法。以求给学生及观众完整的，全球层面的酒品生产、品鉴知识。本课程以寓教于乐的方式介绍不同酒品的酿造原料获取、酿造工艺、感官评价的基本知识，也可以作为面对一般公众的普及教育材料，满足其对酒类差异化消费的知识需要。,暨南大学,,"第一讲 威士忌
第一讲 单元测验
1.3 威士忌的品鉴品尝
1.1 威士忌的历史背景
1.2 威士忌的酿造工艺
第二讲 伏特加
第二讲 单元测验
2.1 伏特加的历史背景
第二讲 单元作业
2.2 伏特加的酿造工艺
2.3 伏特加的品鉴品尝
第三讲 白兰地
第三讲 单元测验
3.3 白兰地的品鉴品尝
3.1 白兰地的历史背景
3.2 白兰地的酿造工艺
第四讲 朗姆酒
第四讲 单元测验
4.2 朗姆酒的酿造工艺
4.1 朗姆酒的历史背景
4.3 朗姆酒的品鉴品尝
第四讲 单元作业
第五讲 金酒
第五讲 单元测验
第五讲 单元作业
5.2 金酒的酿造工艺
5.1 金酒的历史背景
5.3 金酒的品鉴品尝
第六讲 龙舌兰酒
第六讲 单元测验
6.3 龙舌兰酒的品鉴品尝
6.1 龙舌兰酒历史背景
6.2 龙舌兰酒的酿造工艺
第六讲 单元作业
第七讲 日本清酒
第七讲 单元测验
7.2 日本清酒的酿造工艺
7.1 日本清酒历史背景
7.3 日本清酒的品鉴品尝
第八讲 韩国烧酒
第八讲 单元测验
8.1 韩国烧酒历史背景
8.3 韩国烧酒的品鉴品尝
8.2 韩国烧酒的酿造工艺",
土壤学,https://www.icourse163.org/course/HZAU-1003257004,    土壤学是一门关于土壤的物质组成和性质、土壤肥力和土壤管理、土壤资源分布、类型、性质以及评价与开发利用等方面的原理和方法的基础学科。本课程主要面向农业资源与环境专业以及相关专业的本科生、研究生和教师，同时面向社会上有志于了解土壤和从事土壤改良、土壤施肥和污染土壤修复的社会群体。课程在深入浅出介绍土壤学基本理论的同时，将融入最新的科研进展、最前沿的科学技术，促使社会大众和广大师生能深刻认识土壤，关心爱护土壤，共同保护我国的水土资源，维护土壤健康和人类健康。课程内容主要包括：土壤学概论，地学基础，土壤固相组成，土壤生物，土壤物理性质，土壤化学性质，土壤养分，土壤形成与分布，土壤污染与修复。,华中农业大学,"教材：
黄巧云. 土壤学(第二版). 北京：中国农业出版社，2016.
黄昌勇等. 土壤学(第三版). 北京：中国农业出版社，2010.
参考书：
Ray R Weil & Nyle C Brady 2017 The Nature and Properties of Soils (15th edition), Person Education, Inc., New Jersey.
Huang P M, Li Y, Sumner M E 2011 Handbook of Soil Sciences, Second Edition (Two Volume Set), CRC Press.
学习网站：
https://www.soils.org/ 
https://www.hintze-online.com/sos/soils-online.html
https://www.pedosphere.com/ 
https://www.agronomy.psu.edu/Courses/SOILS101/Soils101.html","第一章 绪论
第一节. 什么是土壤？
第二节. 土壤在农业和环境中的地位和作用
第三节. 土壤健康面临严峻挑战
第四节. 土壤学的发展
第五节. 土壤学的研究内容与方法
第二章 地学基础
第一节. 矿物
第二节. 岩石
第三节. 风化作用与风化壳
第四节. 母质类型
第三章 土壤固相组成
第一节. 土壤矿物质组成
第二节. 土壤黏土矿物
第三节. 土壤颗粒与质地分类
第四节. 不同质地土壤的利用和改良
第五节. 土壤有机质概况和转化
第六节. 土壤腐殖质特性和作用
第四章 土壤生物
第一节. 土壤生物多样性与分布
第二节. 根际微生物
第三节. 土壤生物在土壤过程中的作用
第五章 土壤物理性质
第一节. 土壤孔性
第二节. 土壤结构
第三节. 土壤力学性质与土壤耕性
第四节. 土壤水的表示与类型
第五节. 土壤水的能量状态
第六节. 土壤液态水运动
第七节. 土壤空气
第八节. 土壤热状况
第六章 土壤化学性质
第一节. 土壤胶体
第二节. 土壤胶体对离子的吸附与交换
第三节. 土壤酸碱性
第四节. 土壤的氧化还原反应
第七章 土壤养分
第一节. 土壤氮素
第二节. 土壤磷素
第三节. 土壤钾素
第八章 土壤形成与分布
第一节. 土壤形成因素-气候
第二节. 土壤形成因素-生物
第三节. 土壤形成因素-母质
第四节. 土壤形成因素-地形
第五节. 土壤形成因素-时间
第九章 土壤污染与修复
第一节. 我国土壤污染现状
第二节. 土壤污染的概念
第三节. 土壤污染修复技术",
